id, Blood_Bank_Name, State, District, City,Pincode, Mobile, Email,Name, Qualification , Category, Blood_Component_Available, Apheresis, Service_Time, Date_License_Obtained, Latitude, Longitude
529,Shri Ram Blood Bank Porbandar,Gujarat,PORBANDAR,Porbandar,360575,8128987109,jp.trust.jethva@gmail.com,Dr. K. G. Rajyaguru ,MD,Private,NO,NO,9 to 8 (7 days),"2013	",21.640642,69.604689
530,Astha Voluntary Blood Bank Gondal,Gujarat,RAJKOT,Gondal,360330,9879531616,aasthabloodbank@yahoo.com,Dr. Nitinbhai,MD,Private,NO,NO,24X7,"05-05-2012	",21.959147,70.803122
531,P.D.U. Medical College Blood Bank,Gujarat,RAJKOT,Rajkot,360001,"09825389050, 09825416609","cs_raj@gujarat.gov.in, gauravidhruva@yahoo.co.in",Dr. Gauravi Dhruve     ,MD,Government,YES,NO,24X7,11-03-2011,22.304595,70.799732
532,Rajkot Voluntary Blood Bank and Research Centre,Gujarat,RAJKOT,Rajkot,360002,"09898700101, 08460781366","savelife@999life.org, kamlesh.dharajiya@999life.org",Dr. Kamlesh R. Dharajiya ,MD,Private,YES,NO,24X7,01-11-2013,22.287302,70.8003
533,Red Cross Blood Bank Rajkot,Gujarat,RAJKOT,Rajkot,360001,9426953839,rajkot_ircs@yahoo.co.in,Gaurang M Pandya,Office Assistant,Government,YES,NO,24X7,19-10-2012,22.295381,70.796956
534, Saurastra Voluntary Blood Bank Rajkot,Gujarat,RAJKOT,Rajkot,360002,9825082454,"svbbrjt@gmail.com, vanmali123@yahoo.co.in",Dr. H. B. Savaliya,MD,Charity,YES,NO,24X7,23-03-2012,22.30301,70.787022
535,General Hospital Blood Bank Morbi,Gujarat,RAJKOT,Rajkot,363641,9998476158,"ghmorbi@yahoo.co.in, drkapshavara20@gmail.com",Dr. Kapil Bavarva,MBBS,Government,NO,NO,24X7,01-01-2013,22.815814,70.831473
536,nationality Development Foundation Blood Bank Rajkot,Gujarat,RAJKOT,Rajkot,360002,9825547459,bfieldmarshal@yahoo.in,Dr. A. M. Patel ,MBBS,Charity,YES,NO,24X7,"2011	",22.283334,70.799999
537,"nathani Voluntary Blood Bank,  Rajkot ",Gujarat,RAJKOT,Rajkot,N/A,"09227600111,   09825912518",NULLthanibloodbank@gmail.com,"Dr. R.R. Panelai	",NULL,Private,YES,NO,24X7,"01-May	",22.2943,70.788614
538,Shiv Voluntary Blood Bank Morbi,Gujarat,RAJKOT,Rajkot,NULL,"09998959859, 09925052852",nilman_001@yahoo.co.in,Dr. Nilesh M.Marvania-                                        ,MBBS,Private,NO,NO,24X7,01-01-2012,22.811453,70.828261
539,Jetpur Medical Foundation Trust Blood Bank Jetpur,Gujarat,RAJKOT,Rajkot,360370,9426480401,NULL,Dr. Wadhwani,MBBS,Private,NO,NO,24X7,15-10-2012,21.757189,70.622644
540,Jagruti Charitable Trust Blood Bank Dhoraji,Gujarat,RAJKOT,Rajkot,360410,9925873351,jkrajyaguru@yahoo.com,"Dr.K.A.Rajyaguru -	",MD,Private,NO,NO,24X7,07-01-2012,21.731878,70.450128
541,GMERS Medical College Attach Sir Pratap General Hospital Blood Bank,Gujarat,Sabarkantha,Himmatnagar,383001,9099069454,bto.hmt@gmail.com,Dr. P. K. Gohil,MBBS,Government,NO,NO,24X7,"2012	",23.595692,72.960688
542,Indian Red Cross Society Blood Bank Himmatnagar,Gujarat,Sabarkantha,Himmatnagar,383001,9427691082,"ircshmt@sify.com, pareshmehta10@yahoo.com",Dr. H. S. Soni,MD,Private,NO,NO,24X7,01-01-2013,23.056733,72.573372
543,Patel Voluntary Blood Bank Modasa,Gujarat,Sabarkantha,Sabarkantha,NULL,9898651107,bhavin1359@yahoo.com,Bhavin Patel ,NULL,Private,NO,NO,24X7,19-12-2010,23.467375,73.297689
544,Trimurti Blood Bank,Gujarat,Sabarkantha,Sabarkantha,383430,9898312397,mehtabloodbank@yahoo.co.in,Dr. Rajesh Patel,MD,Private,NO,NO,24X7,06-07-1905,23.838678,23.838678
545,Late N.H. Ramani Memorial Voluntary Blood Bank and navchetan Pathology Lab Modasa,Gujarat,Sabarkantha,Sabarkantha,383315,9426036536,ramanibloodbank@yahoo.com,Dr. NULLvin V. Patel,MD,Private,NO,NO,24X7,28-08-2012,23.459892,73.297569
546,New Civil Hospital Blood Bank,Gujarat,SURAT,Surat,395001,"09824196639, 09825121410, 09898585804, 09426772901",bloodbanknchs@gmail.com,Dr. A. N. Pandya,MD (Pathology),Government,YES,YES,24X7,01-01-2012,21.180272,72.821117
547,Surat Raktdan Kendra,Gujarat,SURAT,Surat,394210,9327338036,srkrc2008@gmail.com,Dr. Snehlata Gupte,MD,Government,YES,YES,24X7,Applied for renewal,21.172667,72.829951
548,"Lok Samarpan Raktadan Kendra, Surat",Gujarat,SURAT,Surat,395006,"97,27,78,25,87,09,82,50,00,000",lsbloodbank@gmail.com,Dr.Hiren DhaNULLni-BTO,MD,Private,YES,YES,24X7,"Jan-13	",21.219718,72.910619
549,Shree Mahavir Health And Medical Relief Society Blood Bank,Gujarat,SURAT,Surat,395001,9824158042,mahavirbloodbankm@gmail.com,Dr.Chinubhai shah,MD,Private,YES,YES,24X7,"December - 2013	",21.184104,72.813897
550,Shree Sardar Smarak Hospital Blood Bank,Gujarat,SURAT,Surat,394602,"09427586310, 09879316223",&#34;info@sshbardoli.com,Dr. Ritaben ,MD,Charity,YES,YES,24X7,30.05.2013,21.130451,73.108096
551,SMIMER Hospital Blood Bank,Gujarat,SURAT,Surat,395010,9328664546,bbsmimer@yahoo.com,Dr. Ankita Patel       ,MD,Government,YES,YES,24X7,28-07-2014,21.196246,72.845477
552, Surat Health Care Foundation Blood Bank,Gujarat,SURAT,Surat,395003,9825193328,bloodbankshf@yahoo.com,Dr. Ashok K. Kapadia,"MD.(Pathology), DCP",Charity,YES,NO,24X7,03.05.1994,21.195,72.819444
553,General Hospital Surendranagar Blood Bank,Gujarat,SURENDRAnaGAR,Surendranagar,363001,9727712214,cdmo.health.surendraNULLgar@gmail.com,Dr. H. R. Prajapati,MD,Government,NO,NO,24X7,06-07-1905,22.7226,71.649165
554,C. U. Shah Medical College and Hospital Blood Bank,Gujarat,SURENDRAnaGAR,Surendranagar,363001,"07383555835, 09904022772",dr_hardik82@yahoo.com,Dr. Hardik makwaNULL,MD (Pathology),Charity,YES,NO,24X7,14-10-2013,22.741751,71.622137
555,Sharddha Voluntary Blood Bank and Pathology Laboratory Dhangadhra,Gujarat,SURENDRAnaGAR,Surendranagar,NULL,9426922330,shraddhapatho99@yahoo.com,Dr. Devayang RaNULL,MBBS,Private,YES,NO,24X7,Applied for renewal,22.990836,71.47162
556,Laxmiben Kushalbhai Patel Blood Bank ,Gujarat,TAPI,Tapi,394650,9825788464,lkpbb.vyara@yahoo.com,Dr. Tejasbhai Shah ,MD,Government,YES,NO,24X7,"30-04-2013	",21.113314,21.113314
557,Maliba Raktdan Kendra (IRCS),Gujarat,TAPI,Vyara,394651,9825788464,NULL,NULL,NULL,Private,NO,NO,24X7,16-01-2011,21.118758,73.404128
558,S. S. G. Hospital Vadodara,Gujarat,VADODARA,Vadodara,390001,9824275361,bloodbankssgh@yahoo.com,"Dr. FarzaNULL Kothari	",MD,Government,YES,YES,24X7,09-10-2015,22.307133,73.189731
559,Jamnabai Blood Bank,Gujarat,VADODARA,Vadodara,390001,8238012038,samir_path@yahoo.com,Dr. Samir Parikh,NULL,Government,NO,NO,24X7,NULL,22.300308,22.300308
560,"Medical Care Centre Trust, Shri Jalaram Blood Bank, Vadodara  ",Gujarat,VADODARA,Vadodara,390018,9825335065,"kgpchospital1984@yahoo.com, sunillab@yahoo.com, panNULLdesai@yahoo.in ",Dr. Sunil Shah,MD,Private,YES,YES,24X7,04-07-1988,22.314965,73.195356
561,Suraktam Blood Bank Vadodara,Gujarat,VADODARA,Vadodara,390005,"09825044906, 09409279666",suraktam@suraktambloodbank.org,Dr. R. B. Bhesania,MD (ENT),Private,YES,NO,24X7,01-01-2012,22.307765,73.18633
562,Kailash Cancer Hospital & Research Centre Blood Bank.,Gujarat,VADODARA,Vadodara,391760,9825132377,bloodbank.kchrc@greeNULLshram.org,"Dr. BhawNULLben Chaudhari   	",MD,Private,YES,YES,24X7,15-06-2007,22.334629,73.464162
563,GMERS Medical College and General Hospital Blood Bank,Gujarat,VADODARA,Vadodara,390021,"09825436699, 09327212564, 08128395667",neeNULLpdoshi@gmail.com,Dr. NeeNULL Doshi,MD (Pathology),Government,NO,NO,24X7,07-05-2015,22.313751,73.148086
564,Indu Blood Bank Vadodara,Gujarat,VADODARA,Vadodara,390001,"09825017334, 09925627186",induhealth@gmail.com,Dr. Vijay Shah,MD,Private,YES,YES,24X7,29-11-2011,22.304204,73.1935
565,Dhiraj General Blood Bank Vadodara,Gujarat,VADODARA,Vadodara,391760,"09601151034, 09979304421",dghmainoffice@yahoo.com,Dr. Ashu Doghra ,MD,Private,YES,NO,24X7,Applied for renewal,22.30732,73.181079
566,Bhailal Amin General Hospital Blood Bank,Gujarat,VADODARA,Vadodara,NULL,9879977700,bloodbank@baghhospital.com,Dr. Amarpreet ,MD,Government,YES,YES,24X7,06-10-2015,22.325426,73.163239
567,SBPP Cooperative Bank Foundation Blood Bank,Gujarat,VALSAD,Pardi,396125,9898798253,sbppbb@rdeiffmail.com,Dr. M. M. Qureshi,MBBS,Private,YES,NO,24X7,01-01-2012,20.516862,72.951211
568,General Hospital and GMERS Medical College Blood Bank,Gujarat,VALSAD,Valsad,396001,9428020450,amitshah251@rediffmail.com,Dr. Amit Shah,MD,Government,NO,NO,24X7,01-01-2012,20.59404,72.922063
569,Valsad Raktdan Kendra,Gujarat,VALSAD,VALSAD,396001,"09825144643, 09825158044",bloodbank.valsad@gmail.com,Dr. Vishal Maheta ,MBBS,Charity,YES,YES,24X7,01-01-2013,20.609737,72.929097
570,"Nukem Blood Bank, Vapi",Gujarat,VALSAD,Valsad,396001,9909618689,info@hariarotaryhospital.com,Dr. Manoj Sachdeva,MD,Private,YES,NO,24X7,01-01-2012,20.381255,72.920819
571,Smt. Puriben Popat Lakha Blood Bank,Gujarat,VALSAD,Vapi,396195,9879536375,lionsbloodbank03@gmail.com,Dr. NULLrendra Lakhani,MD,Private,YES,NO,24X7,17-11-2014,20.373994,72.904781
572,Military Hospital Blood Bank Ambala,Haryana,AMBALA,Ambala,133001,NULL,NULL,NULL,NULL,Government,NULL,NULL,NULL,NULL,30.353047,76.833532
573,MM Institute of Medical Sciences and Research Blood Bank,Haryana,AMBALA,Ambala,133207,9729984910,NULLsib_chand2004@yahoo.com,Dr. N. Chand,MD (Pathology),Private,YES,NO,24X7,23-12-2015,30.252282,77.049488
574,Sanjeevani Blood Bank,Haryana,AMBALA,Ambala,133001,9729177002,NULL,Dr. Kamildeep Singh,MD (Pathology),Private,NO,NO,24X7,26-12-2011,30.339065,76.836686
575,General Hospital Blood Bank Ambala City ,Haryana,AMBALA,Ambala City,134002,9416110322,bloodbankambala@gmail.com,Dr. Virender Bharti,MD (Pathology),Government,NO,NO,24X7,01-12-2011,30.378711,76.779636
576,Philadelphia Mission Hospital Blood Bank,Haryana,AMBALA,Ambala City,134002,9896101333,philhosp@gmail.com,Dr. S.K Mahipal,MBBS,Charity,NO,NO,9am - 5pm,06-07-1905,30.383042,76.785947
577,General Hospital Bhiwani Blood Bank ,Haryana,BHIWANI,Bhiwani,127021,9467074267,pmobhiwani@gmail.com ,Dr. Satbir Singh Bhankar,NULL,Government,NO,NULL,24X7,NULL,28.797229,76.13081
578,City Blood Bank,Haryana,BHIWANI,Bhiwani,NULL,NULL,NULL,NULL,NULL,Private,NULL,NULL,NULL,NULL,0,0
579,Gold Field Hospital and Research Centre,Haryana,FARIDABAD,Ballabgarh,121004,8814899239,goldfieldbloodbank@gmail.com,Dr. Parineeta,MD (Pathology),Private,YES,YES,24X7,28-07-2011,28.277083,77.454948
580,Badshah Khan General Hospital Blood Bank,Haryana,FARIDABAD,Faridabad,121001,"09999132742, 09999577043",rbtcfaridabad@gmail.com,Dr. Savita Yadav,NULL,Government,YES,NULL,24X7,NULL,28.392623,77.299274
581,Escorts Hospital and Research Center Limited Blood Bank,Haryana,FARIDABAD,Faridabad,121001,9818277538,"bloodbank.fbd@fortishealthcare.com, satya.sharma1@fortishealthcare.com",Dr. Satya NULLrayan Sharma,"MBBS, MHA",Private,YES,YES,24X7,16-04-2013,28.391378,77.306856
582,M/s Sunflag Hospital and Research Centre Blood Bank,Haryana,FARIDABAD,Faridabad,121001,9910605254,sunflagbloodbank@gmail.com,Dr. Anita Chabra,MD (Pathology),Private,YES,YES,24X7,30-07-2004,28.40274,77.31823
583,Sarvodaya Hospital and Research Centre,Haryana,FARIDABAD,Faridabad,121006,9910726654,nem.5@sarvodyahospital.com,Dr. Gurudev Singh,"MD (Pathology, DNB (Pathology)",Private,YES,YES,24X7,04-10-2014,28.422451,77.316923
584,QRG Central Hospital and Research Centre Blood Bank,Haryana,FARIDABAD,Faridabad,121001,8826533714,qrgcentralhospital150@gmail.com,Dr. Sudhir Vatsa,MD (Pathology),Private,YES,YES,24X7,01-04-2013,28.393014,77.310047
585,Sant Bhagat Singh Maharaj Ji Charitable Hospital Blood Bank,Haryana,FARIDABAD,Faridabad,121001,NULL,rbbfbd@gmail.com,Dr. Geeta KhuraNULL,NULL,Charity,YES,NULL,NULL,NULL,28.383115,77.302218
586,Asian Institute of Medical Sciences Blood Bank,Haryana,FARIDABAD,Faridabad,121001,9650099052,"uma.rani@aimsindiaco.in, blood.bank@aimsindiaco.in",Dr. Uma Rani,MD (Pathology),Private,YES,YES,24X7,23-06-2010,28.425756,77.299823
587,Metro Heart Institute with Multispecialty,Haryana,FARIDABAD,Faridabad,121002,9818538609,drmeenu.pujani@metrohospitalfaridabad.com,Dr. Meenu Pujani,MD (Pathology),Private,YES,YES,24X7,10-08-2015,28.406835,77.318049
588,General Hospital Blood Bank Fatehabad,Haryana,FATEHABAD,Fatehabad,125050,9991290062,drprachi2@rediffmail.com,Dr Prachi Arun,NULL,Government,NO,NULL,24X7,NULL,29.517629,75.448988
589,Jagdambe Blood Bank,Haryana,FATEHABAD,Tohana,125120,9416047692,dr.ijaggarwal@gmail.com,Dr. Inderjeet Aggarwal,"MBBS, DLO",Private,YES,NO,24X7,06-03-2013,29.715587,75.900961
590,Paras Health Care Private Limited Blood Bank,Haryana,GURGAON,Gurugram,122002,9560409969,bloodbank@parashospitals.com,Dr. Sonia Bindal,"MBBS, Diploma IN clinical research",Private,YES,YES,24X7,21-06-2012,28.451204,77.087719
591,Artemis Medicare Services Limited Blood Bank,Haryana,GURGAON,Gurugram,122001,"09716122245, 09871019148, 09716122284",transfusion.medicine@artemishealthsciences.com,Dr. (Brig) Anil Khetarpal,MD (Pathology),Private,YES,YES,24X7,17-08-2014,28.43132,77.072134
592,Medanta The Medicity Hospital Blood Bank,Haryana,GURGAON,Gurugram,122001,9971183331,"aseem.tiwari@medanta.org, ganesh.rawat@medanta.org",Dr Aseem Kumar Tiwari,MD (Pathology),Private,YES,YES,24X7,14-01-2015,28.439105,77.040909
593,Alchemist Institute of Medical Sciences Blood Bank,Haryana,GURGAON,Gurugram,122002,NULL,bloodbank.aims@alchemisthospitals.com,Dr. Neha Mansi,"MBBS, DNB",Private,YES,YES,24X7,01-10-2015,28.439328,77.10227
594,SGT Medical College Hospital and Research Institute Blood Bank ,Haryana,GURGAON,Gurugram,122505,"08587046950, 08750879875",Bloodbank@sgtuniversity.org,Dr. Arun SaxeNULL,MD (Pathology),Charity,YES,NO,24X7,11-02-2014,28.478407,76.902714
595,Park Hospital Blood Bank,Haryana,GURGAON,Gurugram,122001,"08802141414, 07503141414","raj1963_kanwar@yahoo.com, parkmedicenters@gmail.com",Dr. Arvind Malhotra,"MBBS, DCP ",Private,YES,YES,24X7,01-10-2012,28.420003,77.048378
596,Fortis Memorial Research Institute Blood Bank,Haryana,GURGAON,Gurugram,122002,"08376908523, 08587099908",bloodbank.fmri@fortishealthcare.com,Dr. NULLbajyoti Choudhury,NULL,Private,YES,NULL,24X7,NULL,28.456975,77.07299
597,Fortis Memorial Research Institute Blood Bank,Haryana,GURGAON,Gurugram,122002,8587099908,fmri@fortishealthcare.,Dr. N. Chaudhary,"MBBS, PHD, MBA",Private,YES,YES,24X7,29-11-2012,28.456965,77.07297
598,"General Hospital Blood Bank, Gurugram",Haryana,GURGAON,Gurugram,122001,9868822200,dhs.csgur@gmail.com,Dr. Manoj Sharma,MD (Pathology),Government,NO,NO,24X7,30-03-2015,28.511841,76.986694
599,Umkal Blood Bank,Haryana,GURGAON,Gurugram,122017,NULL,anuphoora65@gmail.com,Dr. Arti Nigam,NULL,Private,YES,NO,NULL,NULL,0,0
600,VPS Rockland Hospital Blood bank,Haryana,GURGAON,Gurugram,122051,9650319955,bloodbank.manesar@rocklandhospital.com,Dr. Mahak Sharma,NULL,Private,YES,NULL,NULL,NULL,0,0
601,"Columbia Asia Hospital - Palam Vihar, Blood Bank",Haryana,GURGAON,Gurugram,122017,NULL,NULL,NULL,NULL,Private,NULL,NULL,NULL,NULL,0,0
602,Paras Hospital Blood Bank,Haryana,GURGAON,Gurugram,122002,NULL,bloodbank@parashospitals.com,Dr Sonia Bindal,NULL,Private,YES,NULL,NULL,NULL,0,0
603,nalwa Pathology and Microbiology Laboratory Blood Bank,Haryana,HISAR,Hisar,125001,9812030669,"NULLwlalab@gmail.com, NULLvtejNULLlwa@gmail.com",Dr. J. P. Singh NULLlwa,MD (Microbiology),Private,YES,YES,24X7,19-06-1905,29.157025,75.722428
604,Central Medical Centre (CMC) Hospital Blood Bank,Haryana,HISAR,Hisar,125001,"088138 32032, 09996166233, 09416397790","cmchospitalhisar@gmail.com, cmchospitalhisar@hotmail.com",Dr. Ranju popli,MD (GyNULLecology),Private,NO,NO,24X7,31-12-2007,29.140858,75.734103
605,Haryana Blood Bank,Haryana,HISAR,Hisar,125001,"09996663336, 09812171175, 09215181918","haryaNULLbloodbankhisar@gmail.com, director.edumate@gmail.com",Dr. Sunil Kumar,MBBS,Private,NO,NO,24X7,15-07-1998,29.130234,75.74437
606,Manglam Blood Bank,Haryana,HISAR,Hisar,125005,9254222767,manglam0578@gmail.com,Dr G R Gupta,NULL,Private,YES,NULL,24X7,NULL,29.131899,75.744839
607,Hisar Blood Bank,Haryana,HISAR,Hisar,NULL,9896036321,kalra_lab@yahoo.com,NULL,NULL,Private,NULL,NULL,NULL,NULL,0,0
608,Dr. Anant Ram Janta Hospital Blood Bank,Haryana,HISAR,Hisar,125121,9416042096,draNULLntram_b@yahoo.com,Dr. ANULLnt Ram,MBBS,Private,NO,NO,24X7,07-03-2013,29.363162,75.901772
609,"national Blood Bank, Kharab Hospital Blood Bank",Haryana,HISAR,Hisar,125008,NULL,mk885200@gmail.com,Dr. Bimal Roy NULLrang,MD (Pathology),Private,YES,NO,24X7,10-02-2014,29.310977,76.344908
610,Sarvodaya Blood Bank services,Haryana,HISAR,Hisar,125001,"08572096543, 09896036321","uk.sarvodaya@gmail.com, nem.s@sarvodayahospital.com",Dr Jagdish Sethi,NULL,Private,YES,NO,24X7,24-09-2013,29.1409,75.733801
611,General Hospital Blood Bank Hisar,Haryana,HISAR,Hisar,125001,9468248136,drjoginderkapoor1962@gmail.com,Dr. Joginder Kapoor,MD (Orthopedics)  ,Government,NO,NO,24X7,NULL,29.17,75.718602
612,"Maharaja Agrasen Medical College, Agroha, Blood Bank",Haryana,HISAR,Hisar/Agroha,125047,NULL,bloodbank@mamc.edu.in,Dr. Ajay Kochhar,NULL,Government,YES,NO,24X7,11-07-2002,29.336707,75.622627
613,General Hospital Blood Bank Jhajjar,Haryana,JHAJJAR,Jhajjhar,124103,9729078039,dhs.csjjr@hry.nic.in,Dr. Indira Hasija,MD (Pathology),Government,NO,NO,24X7,01-10-2008,28.607735,76.642891
614,General Hospital Blood Bank Jind,Haryana,JIND,Jind,126102,"09416139660, 09416556795","msghjind10@gmail.com, jaikumar.mann@gmail.com, bloodbankghjind@gmail.com",Dr. Jai Kumar Mann,MD (Microbiology),Government,NO,NO,24X7,03-12-1992,29.311866,76.330022
615,national Blood Bank,Haryana,JIND,Jind,NULL,NULL,NULL,NULL,NULL,Government,NULL,NULL,NULL,NULL,0,0
616,Gangaputra Hospital and Research Centre Blood Bank,Haryana,JIND,Kandela,126102,9871804058,lohamalewa@gmail.com,Dr. ArchaNULL Sharma,MD (Pathology),Private,YES,YES,24X7,11-07-2015,29.378281,76.337165
617,Smt. Indira Gandhi Government Multispeciality Blood Bank,Haryana,KAITHAL,Kaithal,136027,"09416121227, 09991717988, 09466484634","Bloodbankghktl@gmail.com, gulabsungroya@gmail.com",Dr Sachin,MD (Pathology),Government,NO,NO,24X7,19-11-2012,29.793446,76.421959
618,Haryana Institute of Medical Sciences (HIMS) Hospital Blood Bank,Haryana,KAITHAL,Kaithal,NULL,NULL,hims.ktl@gmail.com,NULL,NULL,Private,NULL,NULL,NULL,NULL,29.844728,76.441361
619,Kapisthal Blood Bank,Haryana,KAITHAL,Kaithal,136027,NULL,kapisthalbloodbank123@gmail.com,Dr. M.R Mittal,NULL,Private,NO,NULL,NULL,NULL,0,0
620,General Hospital Blood Bank Karnal,Haryana,KARnaL,Karnal,132001,9466119091,rbtcghknl@gmail.com,Dr. Rajeev Panwar,NULL,Government,YES,NO,24X7,31-12-2012,29.696067,76.994185
621,Nirmal Institute of Medical Sciences and Technology Blood Bank,Haryana,KARnaL,Karnal,132001,"09991455777, 09896244555",nims1999@gmail.com,Dr. Ashok Kumar Bector,MSc Pathology and specialization in Hematalogy,Charity,YES,YES,24X7,01-08-1997,28.4734936,77.2906064
622,Pandit Ram Prakash Hospital and Kidney Centre Blood Bank,Haryana,KARnaL,Karnal,132001,"09416130301, 9896922924","gd.sharma@rediffmail.com, balwinderkumar175@gmail.com",NULL,NULL,Private,NULL,NULL,24X7,NULL,0,0
623,Save Life Blood Bank,Haryana,KARnaL,Karnal,132001,9896217504,sikkalab@gmail.com,Dr O.P. Pasricha,NULL,Private,YES,NULL,24X7,NULL,28.701048,77.103863
624,LNJP District Government Hospital Blood Bank ,Haryana,KURUKSHETRA,Kurukshetra,136118,"09467734580, 09355370569","mnjt1972@yahoo.co.in, cskkr@gmail.com",Dr. Manjeet Singh,MD (Pathology),Government,NO,NO,24X7,05-06-1905,29.964985,76.820558
625,Kurukshetra Blood Bank,Haryana,KURUKSHETRA,Kurukshetra,136118,"09355231078, 093544 59907","kbloodbankk@gmail.com, sushaadkunj@gmail.com",Dr.S.C.Sharma,NULL,Private,YES,NULL,24X7,NULL,29.970016,76.838528
626,Adesh Blood Bank,Haryana,KURUKSHETRA,Kurukshetra,136135,NULL,NULL,NULL,NULL,Private,NULL,NULL,NULL,NULL,0,0
627,Civil Hospital narnaul ,Haryana,MAHENDRAGARH,narnaul,123001,9812198175,bloodbankghNULLrula@gmail.com,Dr. Surender Kumar,MBBS,Government,NO,NO,24X7,08-05-1996,0,0
628,General Hospital Blood Bank Mandikhera,Haryana,MEWAT,Mandikhera,122108,NULL,bbghcsmwt@gmail.com,Dr. B. K. Rajora,NULL,Government,NO,NULL,NULL,NULL,0,0
629,Shaheed Hasan Khan Mewati Government Medical College Blood Bank  ,Haryana,MEWAT,Nuh,122107,9416731609,gmcmewat@gmail.com,Dr. Pawan Singh,NULL,Government,NO,NULL,24X7,NULL,28.091167,76.971562
630,Diamond Blood Bank LLT,Haryana,PALWAL,Palwal,121102,9899207036,bloodbank@ompremiahospital.com,Dr. Chavvi Gupta,"MBBS, DCP",Private,YES,YES,24X7,25-02-2015,0,0
631,General Hospital Blood Bank Palwal,Haryana,PALWAL,Palwal,121102,9813389010,bloodbankpalwal@gmail.com,Dr. Prashant Gupta,MD,Government,NO,NO,24X7,16-01-2014,28.136087,77.327024
632,Command Hospital Blood Bank,Haryana,PANCHKULA,Panchkula,134109,080908 00659,NULL,NULL,NULL,Government,NULL,NULL,NULL,NULL,30.712615,76.854089
633,Alchemist Hospital Panchkula Blood Bank,Haryana,PANCHKULA,Panchkula,134112,9780887019,"bloodbank@alchemisthospitals.com, gp.saluja@alchemisthosptals.com",Dr. G. P. Saluja,MD (Pathology),Private,YES,YES,24X7,19-04-2012,28.439332,77.10227
634,District Hospital Panchkula Blood Bank,Haryana,PANCHKULA,Panchkula,134109,9876058060,bbghpkl@gmail.com,Dr. Seema Ghai,NULL,Government,NO,NO,24X7,14-08-2015,30.710793,76.845878
635,N.C. Medical College and Hospital Blood Bank,Haryana,PANIPAT,Israna,NULL,NULL,info@sdctrust.org,NULL,NULL,Government,NULL,NULL,NULL,NULL,29.286568,76.878961
636,Red Cross Blood Bank,Haryana,PANIPAT,Panipat,132103,090340 09006,redcrosssocietypnp@gmail.com,Dr. Pooja Singhal,"MBBS, DCP",Charity,NO,NO,24X7,01-12-2012,29.39369,76.969115
637,Prem Blood Bank,Haryana,PANIPAT,Panipat,132103,7206403131,"premhospitaldr@gmail.com, admin@drpremhospital.com",Dr. Sourabh Chawla,NULL,Private,YES,YES,24X7,06-08-2013,29.398644,76.966314
638,Bharat Blood Bank,Haryana,PANIPAT,Panipat,132103,"09416200014, 09254800007",bloodbank.bharat@gmail.com,Dr. H. N. Sehgal,MBBS,Charity,YES,YES,9am - 5pm,01-11-2014,0,0
639,Panipat Blood Bank,Haryana,PANIPAT,Panipat,132103,9416016332,"bkgupta35@gmail.com, ishakaNULLvgupta@gmail.com",Dr Isha Gupta,NULL,Charity,NO,NO,24X7,01-07-2014,29.391662,76.957172
640,Cygnus Maharaja Aggarsain Hospital Blood Bank,Haryana,PANIPAT,Panipat,132103,8222000942,bloodbank.cygnus@gmail.com,Dr. Neelima Gupta,NULL,Private,YES,NULL,NULL,NULL,0,0
641,Rewari Blood Bank,Haryana,REWARI,Rewari,123401,9416063101,"NULLrendraastha@gmail.com, rewaribloodbank@rediffmail.com",Dr NULLrendra Singh Yadav,MD (Pathology),Charity,YES,YES,24X7,26-11-2014,28.187832,76.616935
642,General Hospital Rewari Blood Bank,Haryana,REWARI,Rewari,123401,9416194222,bloodbankghrewari@gmail.com,Dr Neetu Singh,MBBS,Government,NO,NO,24X7,23-10-2008,28.202218,76.619789
643,Bharti Blood Bank,Haryana,REWARI,Rewari,NULL,NULL,NULL,NULL,NULL,Private,NULL,NULL,NULL,NULL,0,0
644,Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences (PGIMS) Blood Bank,Haryana,ROHTAK,Rohtak,124001,9467355771,bloodbankpgimsrtk7@gmail.com,Dr. P.K. Sehgal,NULL,Government,YES,YES,24X7,31-12-2012,28.879942,76.608052
645,General Hospital Blood Bank Sirsa,Haryana,SIRSA,Sirsa,125055,"09416657072, 09416779446  ",bbghsirsa@gmail.com,Dr. Samta,MD (Pathology),Government,NO,NO,24X7,16-06-1905,29.538977,75.014269
646,Shiv Shakti Blood Bank,Haryana,SIRSA,Sirsa,125055,9354884426,bloodsafety@yahoo.com,Dr. Radha Mohan Arora,"MBBS, DCH",Charity,YES,NO,24X7,01-07-1999,29.536432,75.022062
647,Bapu Maghar Singh Ji International Blood Bank,Haryana,SIRSA,Sirsa,125055,9416787411,dssbloodbank@gmail.com,Dr. V. K. Maheshwari,MBBS,Charity,YES,YES,24X7,26-05-2012,29.467914,75.068864
648,Bapu Maghar singh ji,Haryana,SIRSA,Sirsa,NULL,NULL,NULL,NULL,NULL,Charity,NULL,NULL,NULL,NULL,0,0
649,General Hospital Blood Bank Sonipat,Haryana,SONIPAT,Sonipat,131001,"09254300938, 09896214284","bloodbankchsnp@gmail.com, dr.sukhbirsingh55@yahoo.com",Dr. Sukhbir Singh,MD (Pathology),Government,NO,NO,24X7,01-07-2013,28.990486,77.036475
